date freq power mode idcall country long latitude distance
2014-11-29 00:47:31      21036.0 15    CW   N8AA           K      41.35000  -83.22000  5034
2014-11-29 00:47:43      21036.0 15    CW   W1MD           K      42.38000  -71.67000  4540
2014-11-29 00:48:11      21036.0 15    CW   KI0F           K      41.08000  -96.40000  5891
2014-11-29 00:48:24      21036.0 15    CW   VE7XF          VE     49.53000 -122.67000  8132
2014-11-29 00:48:49      21036.0 15    CW   JL1VWL         JA     35.68000  139.67999 15292
2014-11-29 00:49:05      21036.0 15    CW   N4PN           K      33.18000  -82.23000  4361
2014-11-29 00:49:35      21036.0 15    CW   JH5OTE         JA     33.57000  133.53000 15657
2014-11-29 00:50:11      21036.0 15    CW   JA1JAN         JA     35.68000  139.67999 15292
2014-11-29 00:51:26      21036.0 15    CW   JA2KIY         JA     35.18000  136.89999 15416
2014-11-29 00:52:58      21036.6 15    CW   W8OV           K      41.35000  -83.22000  5034
2014-11-29 00:53:11      21036.6 15    CW   KX7M           K      41.28000 -116.58000  7461
2014-11-29 00:53:29      21036.6 15    CW   JR6EZE         JA     33.58000  130.53000 15692
2014-11-29 00:53:47      21036.6 15    CW   JA1BPA         JA     35.68000  139.67999 15292
2014-11-29 00:54:25      21036.6 15    CW   UA0LAF         UA9    45.33000  134.67000 14351
2014-11-29 00:54:38      21036.6 15    CW   NT6X           K      35.47000 -119.33000  7564
2014-11-29 00:55:00      21036.6 15    CW   JL1UTS         JA     35.68000  139.67999 15292
2014-11-29 00:55:16      21036.6 15    CW   JA1QOW         JA     35.68000  139.67999 15292
2014-11-29 00:55:42      21036.6 15    CW   JK1HCE         JA     35.68000  139.67999 15292
2014-11-29 00:56:12      21036.6 15    CW   JE1MGE         JA     35.68000  139.67999 15292
2014-11-29 00:56:32      21036.6 15    CW   N0GOS          K      41.08000  -96.40000  5891
2014-11-29 00:56:55      21036.6 15    CW   JA1XRA         JA     35.68000  139.67999 15292
2014-11-29 00:57:20      21036.6 15    CW   JA8MKZ         JA     41.77000  140.73000 14620
2014-11-29 00:57:46      21036.6 15    CW   JA1TRC         JA     35.68000  139.67999 15292
2014-11-29 00:58:08      21036.6 15    CW   N8II           K      38.80000  -80.73000  4684
2014-11-29 00:59:02      21036.6 15    CW   HL3AMO         HL     36.23000  127.90000 15410
2014-11-29 00:59:29      21036.6 15    CW   JR3EOI         JA     35.02000  135.77000 15458
2014-11-29 01:00:07      21036.6 15    CW   JA0DIN         JA     36.65000  138.17999 15228
2014-11-29 01:00:27      21036.6 15    CW   K6LSJ          K      35.47000 -119.33000  7564
2014-11-29 01:00:40      21036.6 15    CW   N6NG           K      35.47000 -119.33000  7564
2014-11-29 01:01:03      21036.6 15    CW   JA1RNU         JA     35.68000  139.67999 15292
2014-11-29 01:02:30      21036.6 15    CW   JH1FSF         JA     35.68000  139.67999 15292
2014-11-29 01:03:08      21036.6 15    CW   VE3VV          VE     43.80000  -79.25000  5018
2014-11-29 01:03:25      21036.6 15    CW   JH1DLD         JA     35.68000  139.67999 15292
2014-11-29 01:03:47      21036.6 15    CW   JR6AG          JA     33.58000  130.53000 15692
2014-11-29 01:04:06      21036.6 15    CW   JA8CJY         JA     41.77000  140.73000 14620
2014-11-29 01:04:18      21036.6 15    CW   N0TK           K      41.08000  -96.40000  5891
2014-11-29 01:04:47      21036.6 15    CW   JA1JPM         JA     35.68000  139.67999 15292
2014-11-29 01:05:17      21036.6 15    CW   JE2VYM         JA     35.18000  136.89999 15416
2014-11-29 01:05:33      21036.6 15    CW   K4IIE          K      33.18000  -82.23000  4361
2014-11-29 01:05:50      21036.6 15    CW   JA7WNA         JA     40.82000  140.73000 14720
2014-11-29 01:06:02      21036.6 15    CW   W7VJ           K      41.28000 -116.58000  7461
2014-11-29 01:06:18      21036.6 15    CW   W7BRO          K      41.28000 -116.58000  7461
2014-11-29 01:06:46      21036.6 15    CW   JH5RXS         JA     33.57000  133.53000 15657
2014-11-29 01:07:08      21036.6 15    CW   W4OX           K      33.18000  -82.23000  4361
2014-11-29 01:08:11      21036.6 15    CW   JF2KOZ         JA     35.18000  136.89999 15416
2014-11-29 01:08:51      21036.6 15    CW   PY3DX          PY    -30.05000  -51.18000  3922
2014-11-29 01:09:02      21036.6 15    CW   W2FU           K      41.17000  -74.57000  4554
2014-11-29 01:09:25      21036.6 15    CW   PW2D           PY    -10.00000  -53.00000  1690
2014-11-29 01:09:39      21036.6 15    CW   N5AW           K      31.92000  -96.23000  5410
2014-11-29 01:09:49      21036.6 15    CW   K5TR           K      31.92000  -96.23000  5410
2014-11-29 01:10:01      21036.6 15    CW   W0DLE          K      41.08000  -96.40000  5891
2014-11-29 01:10:14      21036.6 15    CW   JI1HNC         JA     35.68000  139.67999 15292
2014-11-29 01:10:44      21036.6 15    CW   JI1BNU         JA     35.68000  139.67999 15292
2014-11-29 01:11:15      21036.6 15    CW   JQ2UOZ         JA     35.18000  136.89999 15416
2014-11-29 01:11:36      21036.6 15    CW   UA0OK          UA9    53.80000  109.33000 13246
